vial,cage,sex,cagediet,assaydiet,idmix,lifespan
97,1a,M,1,1,1M1,8
97,1a,M,1,1,1M1,24.5
97,1a,M,1,1,1M1,24.5
97,1a,M,1,1,1M1,27
97,1a,M,1,1,1M1,34
97,1a,M,1,1,1M1,36
97,1a,M,1,1,1M1,36
97,1a,M,1,1,1M1,36
97,1a,M,1,1,1M1,36
97,1a,M,1,1,1M1,36
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,38.5
97,1a,M,1,1,1M1,41
97,1a,M,1,1,1M1,41
97,1a,M,1,1,1M1,43
97,1a,M,1,1,1M1,45.5
97,1a,M,1,1,1M1,45.5
97,1a,M,1,1,1M1,45.5
97,1a,M,1,1,1M1,45.5
97,1a,M,1,1,1M1,45.5
97,1a,M,1,1,1M1,45.5
97,1a,M,1,1,1M1,48
97,1a,M,1,1,1M1,50
97,1a,M,1,1,1M1,50
97,1a,M,1,1,1M1,52.5
97,1a,M,1,1,1M1,55
97,1a,M,1,1,1M1,55
97,1a,M,1,1,1M1,57
97,1a,M,1,1,1M1,57
97,1a,M,1,1,1M1,62
97,1a,M,1,1,1M1,64
97,1a,M,1,1,1M1,66.5
97,1a,M,1,1,1M1,76
98,1a,M,1,1,1M1,10.5
98,1a,M,1,1,1M1,10.5
98,1a,M,1,1,1M1,34
98,1a,M,1,1,1M1,34
98,1a,M,1,1,1M1,34
98,1a,M,1,1,1M1,34
98,1a,M,1,1,1M1,34
98,1a,M,1,1,1M1,36
98,1a,M,1,1,1M1,36
98,1a,M,1,1,1M1,36
98,1a,M,1,1,1M1,36
98,1a,M,1,1,1M1,36
98,1a,M,1,1,1M1,36
98,1a,M,1,1,1M1,38.5
98,1a,M,1,1,1M1,38.5
98,1a,M,1,1,1M1,38.5
98,1a,M,1,1,1M1,43
98,1a,M,1,1,1M1,43
98,1a,M,1,1,1M1,43
98,1a,M,1,1,1M1,43
98,1a,M,1,1,1M1,45.5
98,1a,M,1,1,1M1,45.5
98,1a,M,1,1,1M1,45.5
98,1a,M,1,1,1M1,45.5
98,1a,M,1,1,1M1,45.5
98,1a,M,1,1,1M1,48
98,1a,M,1,1,1M1,48
98,1a,M,1,1,1M1,50
98,1a,M,1,1,1M1,50
98,1a,M,1,1,1M1,52.5
98,1a,M,1,1,1M1,52.5
98,1a,M,1,1,1M1,52.5
98,1a,M,1,1,1M1,52.5
98,1a,M,1,1,1M1,52.5
98,1a,M,1,1,1M1,52.5
98,1a,M,1,1,1M1,57
98,1a,M,1,1,1M1,66.5
98,1a,M,1,1,1M1,66.5
98,1a,M,1,1,1M1,66.5
